tick,time_s,decision,p_x,m_x,s_x,p_v,m_v,s_v,p_a,m_a,s_a,gap_ps,gap_pm,target_x_m_star,target_t_m_star,target_v_star
0,0.0,merge,11.0,9.0,5.0,16.7,16.7,16.7,0.0,0.0,0.0,6.0,2.0,90.0,9.0,8.0
1,0.1,merge,12.669722543159072,10.66948647142204,6.669223420057918,16.6917109256719,16.684668427069045,16.676821071483005,-0.16439882131788836,-0.3036662094192957,-0.458849870446578,6.000499123101154,2.0002360717370316,90.0,9.1,8.0
2,0.2,merge,14.33779936196885,12.335950103132904,8.33388950042999,16.667137956287046,16.639827726341846,16.609396327260047,-0.32565115249068244,-0.5902610936185666,-0.8851121708753513,6.00390986153886,2.0018492588359464,90.0,9.2,8.0
3,0.30000000000000004,merge,16.00261849138419,13.996524719645336,9.989734516850609,16.62661637805249,16.56716643614018,16.500922215152176,-0.48334916282321505,-0.8601570999515811,-1.280028801323188,6.012883974533581,2.006093771738854,90.0,9.3,7.0
4,0.4,merge,17.66263165653902,15.648559540956462,11.632883615960342,16.57135982801095,16.46977846100918,16.35672002142587,-0.6205772323940457,-1.0852537709699535,-1.6004213834024277,6.029748040578678,2.0140721155825574,90.0,8.9,8.0
5,0.5,merge,19.31645362562921,17.289709607385955,13.259939392103034,16.50299831373621,16.349276685069274,16.17836662665286,-0.7454540304956648,-1.3220309720146453,-1.962164420984845,6.056514233526178,2.0267440182432566,90.0,9.0,8.0
6,0.6000000000000001,merge,20.962815969827098,18.917650501545737,14.86740275400629,16.422177688070434,16.205842167297167,15.965383018101054,-0.8697095196220735,-1.5439789919171512,-2.2932302167312515,6.095413215820807,2.045165468281361,90.0,9.1,8.0
7,0.7000000000000001,merge,22.600476914022853,20.530162594929184,16.451961860689725,16.32899079713881,16.04094279069031,15.72077087460068,-0.9927361520662107,-1.7513996569605617,-2.594934522668014,6.148515053333128,2.0703143190936686,90.0,9.2,8.0
8,0.8,merge,24.22820691177489,22.125171506348828,18.0105984973656,16.223588441531607,15.856015306560248,15.4474014140995,-1.1139819798485788,-1.9446135184706244,-2.8685707157365057,6.217608414409291,2.1030354054260627,90.0,9.3,7.0
9,0.9,merge,25.84482440076299,23.70079912786539,19.540661367185805,16.10707394246252,15.654079159949614,15.150587433219888,-1.2152279493862177,-2.0920960955132633,-3.0646911362867653,6.304163033577186,2.1440252728976006,90.0,8.9,8.0
10,1.0,merge,27.449309972120563,25.25547235048288,21.039978268178587,15.981206634577473,15.436704676569393,14.83166795122935,-1.3010812602375048,-2.2529393292701076,-3.3096599899135715,6.409331703941977,2.193837621637684,90.0,9.0,8.0
11,1.1,merge,29.040776294598647,26.787623933876848,22.506224402124033,15.846658322891278,15.203845161778723,14.48962715221541,-1.3887733254993202,-2.4018553218294048,-3.527324850453412,6.534551892474614,2.253152360721799,90.0,9.1,8.0
12,1.2000000000000002,merge,30.618347464401776,28.295764661901593,23.937221867042485,15.70328661835701,14.956682819255876,14.12712688502729,-1.4774833684881434,-2.539056239267862,-3.7190504615166358,6.681125597359291,2.3225828025001825,90.0,9.2,8.0
13,1.3,merge,32.18113732064912,29.77852243678535,25.331052171160167,15.55102756137077,14.696377409134854,13.746693996909485,-1.5664630302169202,-2.6647784684295317,-3.8861720485880795,6.8500851494889545,2.4026148838637695,90.0,9.3,7.0
14,1.4000000000000001,merge,33.72828932243698,31.234701058118013,26.68614235622491,15.390852178536875,14.425884633431323,13.35368678505108,-1.6360829897231957,-2.7434060370451574,-3.9715542001916253,7.042146966212069,2.4935882643189657,90.0,9.4,7.0
15,1.5,merge,35.25907369067422,32.66344885083825,28.001530979611854,15.22365644744562,14.147875969951553,12.952920311241389,-1.7068097199743808,-2.8151256052165787,-4.041483232312842,7.257542711062367,2.5956248398359705,90.0,9.0,8.0
16,1.6,merge,36.77281607129722,34.064010320093274,29.276394668609395,15.050322719153275,13.861901923441701,12.542231222874701,-1.7589189227231012,-2.9022214398055977,-4.16882866766217,7.496421402687826,2.708805751203947,90.0,9.1,8.0
17,1.7000000000000002,merge,38.26895781095769,35.43555351972083,30.509591266709197,14.871578875433942,13.567655617645228,12.119958848078536,-1.8149136043872287,-2.9806148192981268,-4.273352379521986,7.75936654424849,2.83340429123686,90.0,9.2,8.0
